category,brand,offers,expiring_in_days,Sentence
jewelry,Swatch,20 percent,11,"🌟 Grab 20 percent off on Swatch jewelry! Limited offer, only 11 days left!"
electronics,Apple,10 percent,11,"🌟 Grab 10 percent off on Apple electronics! Limited offer, only 11 days left!"
electronics,Sony,20 percent,18,"🌟 Grab 20 percent off on Sony electronics! Limited offer, only 18 days left!"
jewelry,Tiffany,10 percent,10,"🌟 Grab 10 percent off on Tiffany jewelry! Limited offer, only 10 days left!"
electronics,Dell,5 percent,23,"🌟 Grab 5 percent off on Dell electronics! Limited offer, only 23 days left!"
accessories,Kate Spade,5 percent,7,"🌟 Grab 5 percent off on Kate Spade accessories! Limited offer, only 7 days left!"
apparel,Zara,10 percent,24,"🌟 Grab 10 percent off on Zara apparel! Limited offer, only 24 days left!"
apparel,Adidas,15 percent,19,"🌟 Grab 15 percent off on Adidas apparel! Limited offer, only 19 days left!"
accessories,Ray-Ban,5 percent,17,"🌟 Grab 5 percent off on Ray-Ban accessories! Limited offer, only 17 days left!"
electronics,Apple,10 percent,24,"🌟 Grab 10 percent off on Apple electronics! Limited offer, only 24 days left!"
electronics,Samsung,20 percent,5,"🌟 Grab 20 percent off on Samsung electronics! Limited offer, only 5 days left!"
electronics,Samsung,5 percent,2,"🌟 Grab 5 percent off on Samsung electronics! Limited offer, only 2 days left!"
jewelry,Bvlgari,10 percent,17,"🌟 Grab 10 percent off on Bvlgari jewelry! Limited offer, only 17 days left!"
apparel,Zara,5 percent,21,"🌟 Grab 5 percent off on Zara apparel! Limited offer, only 21 days left!"
electronics,Apple,5 percent,25,"🌟 Grab 5 percent off on Apple electronics! Limited offer, only 25 days left!"
apparel,H&M,20 percent,22,"🌟 Grab 20 percent off on H&M apparel! Limited offer, only 22 days left!"
apparel,Zara,5 percent,22,"🌟 Grab 5 percent off on Zara apparel! Limited offer, only 22 days left!"
jewelry,Cartier,20 percent,22,"🌟 Grab 20 percent off on Cartier jewelry! Limited offer, only 22 days left!"
electronics,Sony,20 percent,20,"🌟 Grab 20 percent off on Sony electronics! Limited offer, only 20 days left!"
electronics,LG,5 percent,20,"🌟 Grab 5 percent off on LG electronics! Limited offer, only 20 days left!"
jewelry,Swatch,10 percent,26,"🌟 Grab 10 percent off on Swatch jewelry! Limited offer, only 26 days left!"
apparel,Zara,20 percent,2,"🌟 Grab 20 percent off on Zara apparel! Limited offer, only 2 days left!"
